N	종목명	현재가	전일비	등락률	액면가	시가총액	상장주식수	외국인비율	거래량	PER	ROE
155,한전KPS,"41,750","1,850",-4.24%,200,"18,788","45,000",9.26,"746,385",17.41,8.23,
156,대웅제약,"161,500","2,500",+1.57%,"2,500","18,712","11,587",4.80,"67,959",-169.64,2.38,
157,아이에스동서,"58,600",500,-0.85%,500,"18,103","30,893",5.06,"50,571",14.16,10.92,
158,KODEX 단기채권PLUS,"103,105",15,-0.01%,0,"17,916","17,376",0.00,"1,468,225",N/A,N/A,
159,LS ELECTRIC,"57,900",400,+0.70%,"5,000","17,370","30,000",14.75,"70,989",22.07,6.15,
160,효성첨단소재,"387,000","14,500",+3.89%,"5,000","17,337","4,480",9.85,"113,291",47.77,0.03,
161,DL,"81,400",300,+0.37%,"5,000","17,058","20,956",16.19,"115,221",4.37,11.84,
162,코오롱인더,"63,100",100,-0.16%,"5,000","17,024","26,979",17.82,"126,793",20.91,9.70,
163,롯데정밀화학,"65,600","1,000",-1.50%,"5,000","16,925","25,800",20.53,"252,129",8.63,12.65,
164,프레스티지바이오파마,"28,150",50,-0.18%,0,"16,917","60,096",63.62,"114,770",-83.78,N/A,
165,KODEX 삼성그룹,"10,125",60,+0.60%,0,"16,787","165,800",0.02,"124,901",N/A,N/A,
166,한미반도체,"33,350",400,+1.21%,200,"16,495","49,460",6.09,"599,667",27.25,21.03,
167,대한유화,"253,500","3,500",+1.40%,"5,000","16,478","6,500",20.72,"29,524",7.23,6.93,
168,에스엘,"33,300",300,-0.89%,500,"16,052","48,203",16.67,"271,751",14.54,4.74,
169,녹십자홀딩스,"33,750",650,-1.89%,500,"15,872","47,028",4.94,"188,784",8.96,19.74,
170,지누스,"98,100","1,800",-1.80%,500,"15,500","15,800",23.51,"30,945",32.38,11.61,
171,신세계인터내셔날,"216,000","6,000",-2.70%,"5,000","15,422","7,140",4.90,"73,294",22.14,8.24,
172,DGB금융지주,"9,100",70,+0.78%,"5,000","15,392","169,146",48.78,"550,824",4.19,6.93,
